Repository,Stars,Forks,Open Issues,Language,Created At,Updated At,Contributors Count,Description
octocat/Hello-World,3536,5913,3725,,2011-01-26T19:01:12Z,2026-03-20T10:50:04Z,3,My first repository on GitHub!
torvalds/linux,224203,61086,3,C,2011-09-04T22:48:12Z,2026-03-20T14:22:42Z,0,Linux kernel source tree
python/cpython,72050,34268,9335,Python,2017-02-10T19:23:51Z,2026-03-20T14:20:53Z,10,The Python programming language
